Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Integrate react router -Forgot password page,SCRUM-73,10072,Task,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,17/Oct/24 10:02 AM,17/Oct/24 10:03 AM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,,,In Progress,17/Oct/24 10:03 AM
Integrate react router -signup page,SCRUM-72,10071,Task,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,17/Oct/24 10:02 AM,17/Oct/24 10:03 AM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,,,In Progress,17/Oct/24 10:03 AM
Integrate react router - App.tsx,SCRUM-71,10070,Task,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,17/Oct/24 10:01 AM,17/Oct/24 10:03 AM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,,,In Progress,17/Oct/24 10:03 AM
Integrate react router - Login page,SCRUM-70,10069,Task,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,17/Oct/24 10:01 AM,17/Oct/24 10:03 AM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,,,In Progress,17/Oct/24 10:03 AM
Integrate react router - Landing page,SCRUM-69,10068,Task,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,17/Oct/24 10:00 AM,17/Oct/24 10:03 AM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000en:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,,,In Progress,17/Oct/24 10:03 AM
Figma pages,SCRUM-67,10066,Task,Done,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,17/Oct/24 9:53 AM,17/Oct/24 12:37 PM,17/Oct/24 8:47 PM,17/Oct/24 10:03 AM,,0,,"create landing page, login page, signup page, forgot password, upload, payment page, dashboard page",,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_567401_*|*_10002_*:*_1_*:*_0,,,,,,Done,17/Oct/24 10:03 AM
Figma components / upload jd page,SCRUM-66,10065,Task,Done,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,16/Oct/24 12:17 PM,16/Oct/24 12:19 PM,17/Oct/24 8:47 PM,16/Oct/24 12:18 PM,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,SCRUM Sprint 1,,,3.0,,,,,,,,10000_*:*_1_*:*_11001_*|*_10002_*:*_1_*:*_0,,,,,,Done,16/Oct/24 12:18 PM
Create Initial DB Design,SCRUM-65,10064,Subtask,Done,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 6:31 PM,15/Oct/24 7:00 PM,17/Oct/24 8:47 PM,15/Oct/24 6:44 PM,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,SCRUM Sprint 1,,,2.0,,,,,,,,10000_*:*_1_*:*_3627_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_810575,,,,10059,Create tables in Postgres through Prisma,Done,15/Oct/24 6:44 PM
Create Forgot Password Component,SCRUM-64,10063,Subtask,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 6:21 PM,15/Oct/24 6:21 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dj:,,,SCRUM Sprint 1,,,1.0,,,,,,,,,,,,10039,Reset Password,In Progress,15/Oct/24 6:21 PM
Database diagram review,SCRUM-63,10062,Subtask,Done,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,15/Oct/24 3:12 PM,16/Oct/24 1:02 PM,17/Oct/24 8:47 PM,16/Oct/24 1:02 PM,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d7:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_78594803_*|*_10002_*:*_1_*:*_0,,,,10059,Create tables in Postgres through Prisma,Done,16/Oct/24 1:02 PM
Creating entities and models in prisma,SCRUM-62,10061,Subtask,PR Review,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,15/Oct/24 3:12 PM,16/Oct/24 1:02 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10059,Create tables in Postgres through Prisma,In Progress,16/Oct/24 1:02 PM
Incorporate an Event Stream for async tasks,SCRUM-61,10060,Task,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:56 PM,15/Oct/24 2:56 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,,,,,,,,,To Do,15/Oct/24 2:56 PM
Create tables in Postgres through Prisma,SCRUM-60,10059,Task,PR Review,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:49 PM,16/Oct/24 1:30 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,Tushar Kendre,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,SCRUM Sprint 1,,,2.0,,,,,,,2024-10-15 19:13:45.413,,"15/Oct/24 3:13 PM;712020:e3719cf1-3a50-4382-856f-673496718591;[~accountid:712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf], post a link to our dbdiagram here, I will keep updating it as changes are made in future","15/Oct/24 6:44 PM;712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf;[https://dbdiagram.io/d/CS673-DB-design-66ec578aa0828f8aa66a7c14|https://dbdiagram.io/d/CS673-DB-design-66ec578aa0828f8aa66a7c14|smart-link] 

Here is the link to the DB Design. [~accountid:712020:e3719cf1-3a50-4382-856f-673496718591] ","16/Oct/24 1:02 PM;712020:e3719cf1-3a50-4382-856f-673496718591;[https://dbdiagram.io/d/Copy-of-CS673-DB-design-670ff07297a66db9a3392148|https://dbdiagram.io/d/Copy-of-CS673-DB-design-670ff07297a66db9a3392148|smart-link] 

Current DB Design",,,In Progress,15/Oct/24 3:09 PM
Create Layout of dashboard pages with sidebar,SCRUM-59,10058,Task,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:34 PM,15/Oct/24 2:40 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,SCRUM Sprint 1,,,1.0,,,,,,,,,,,,,,To Do,15/Oct/24 2:34 PM
Integrate JEST and React testing library,SCRUM-57,10056,Task,Done,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:33 PM,15/Oct/24 2:59 PM,17/Oct/24 8:47 PM,15/Oct/24 2:59 PM,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,SCRUM Sprint 1,,,1.0,,,,,,,,10000_*:*_1_*:*_1501219_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_35640,,,,,,Done,15/Oct/24 2:59 PM
Integrate React Redux,SCRUM-56,10055,Task,Done,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:32 PM,15/Oct/24 3:24 PM,17/Oct/24 8:47 PM,15/Oct/24 2:59 PM,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,SCRUM Sprint 1,,,2.0,,,,,,,,10000_*:*_1_*:*_1538937_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_36081,,,,,,Done,15/Oct/24 2:59 PM
